"","imdb_title_id","title","year","genre","duration","country","language","director","actors","usa_gross_income","worldwide_gross_income","weighted_average_vote","total_votes","mean_vote","median_vote","allgenders_0age_avg_vote","allgenders_18age_avg_vote","allgenders_30age_avg_vote","allgenders_45age_avg_vote","males_allages_avg_vote","males_0age_avg_vote","males_18age_avg_vote","males_30age_avg_vote","males_45age_avg_vote","females_allages_avg_vote","females_0age_avg_vote","females_18age_avg_vote","females_30age_avg_vote","females_30age_votes","females_45age_avg_vote","top1000_voters_rating","us_voters_rating","non_us_voters_rating","movie_length"
"1285","tt7021508","Honey: Rise Up and Dance",2018,"Drama, Music",100,"USA","English","Bille Woodruff","Teyana Taylor, Bryshere Y. Gray, Sierra Aylina McClain, Charmin Lee, Candice Craig, Joel Rush, Brya Wood, Lawrence Kao, Kwajalyn Brown, Paige Fralix, Josh Ventura, Bobby Akers, Kenneth Appleton, Chel Brickhouse, Oneva Cook",NA,NA,5.2,621,5.8,6,3.2,5.2,4.9,5,4.7,5,4.6,4.6,4.9,5.5,2.7,5.4,5.2,89,5.5,4.8,5.2,4.9,"medium"
"1286","tt7054636","A Madea Family Funeral",2019,"Comedy",109,"USA","English","Tyler Perry","Tyler Perry, Cassi Davis, Patrice Lovely, Mike Tyson, Ciera Payton, Kj Smith, Quin Walters, Aeriél Miranda, Jen Harper, Courtney Burrell, Rome Flynn, David Otunga, Derek Morgan, Aryeh-Or, Christianee Porter",73257045,74747725,4.4,3590,5,5,4.2,4.5,4.1,4.4,4,6.7,4.2,3.7,4.1,5.4,3,5.3,5.3,278,5.5,3.5,4.6,3.5,"medium"
"1287","tt7074886","The Front Runner - Il vizio del potere",2018,"Biography, Drama, History",113,"Canada, USA","English","Jason Reitman","Hugh Jackman, Vera Farmiga, J.K. Simmons, Mark O'Brien, Molly Ephraim, Chris Coy, Alex Karpovsky, Josh Brener, Tommy Dewey, Kaitlyn Dever, Oliver Cooper, Jenna Kanell, RJ Brown, Alfred Molina, Mamoudou Athie",2000105,3242235,6.1,10566,6.1,6,6.4,6.2,6.1,6.1,6.1,6.5,6.2,6.1,6.1,6,6,5.9,6,508,6,5.5,6.2,6.1,"medium"
"1288","tt7116248","Afterburn/Aftershock",2017,"Romance",99,"USA","English","Tosca Musk","Greg Berney, Donny Boaz, Andrea Bordeaux, Gail Borges, James C. Bristow, Samantha Colburn, Josh Coxx, Adrian Gonzalez, Alexandra Grossi, Tyler Johnson, Caitlin Leahy, Shi Ne Nielson, Emily Peck, Sarah Stouffer, Gordon Thomson",NA,NA,5.3,679,5.9,6,8,5.3,5.1,5.3,4.4,NA,7.5,4.2,4.4,5.5,8,5.3,5.4,188,5.9,4.1,5.6,5.1,"medium"
"1289","tt7131622","C'era una volta a... Hollywood",2019,"Comedy, Drama",161,"USA, UK, China","English, Italian, Spanish, German","Quentin Tarantino","Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch, Margaret Qualley, Timothy Olyphant, Julia Butters, Austin Butler, Dakota Fanning, Bruce Dern, Mike Moh, Luke Perry, Damian Lewis, Al Pacino, Nicholas Hammond",142502728,374343626,7.6,507214,7.6,8,8.1,7.8,7.5,7.5,7.6,8.2,7.9,7.5,7.4,7.4,7.6,7.5,7.3,21936,7.5,7.5,7.8,7.5,"long"
"1290","tt7136736","The Elf",2017,"Horror",90,"USA","English","Justin Price","Natassia Halabi, Gabriel Miller, Lassiter Holmes, Lisa May, Viviana Ozuna, Joseph Daniel Ellis, Les Best, Margareta Fratila, Amy Jo Guthrie, Loren Haskins Alonzo, Pat Turner",NA,NA,4.1,1074,6.3,8,NA,3.5,2.9,2.2,2.7,NA,3.6,2.9,2.3,2.4,NA,3.3,2.6,37,2.1,3.5,2.4,5.4,"medium"
"1291","tt7139936","Un giorno di pioggia a New York",2019,"Comedy, Romance",92,"USA","English","Woody Allen","Timothée Chalamet, Elle Fanning, Liev Schreiber, Suzanne Smith, Olivia Boreham-Wing, Ben Warheit, Griffin Newman, Selena Gomez, Gus Birney, Elijah Boothe, Will Rogers, Annaleigh Ashford, Jude Law, Frank Marzullo, Kirby Mitchell",NA,21334794,6.6,25038,6.7,7,6.6,6.6,6.5,6.7,6.6,7.1,6.6,6.5,6.8,6.5,6.2,6.4,6.5,1961,6.6,6.1,6.4,6.5,"medium"
"1292","tt7153766","Unsane",2018,"Drama, Horror, Mystery",98,"USA","English","Steven Soderbergh","Joshua Leonard, Claire Foy, Sarah Stiles, Marc Kudisch, Amy Irving, Colin Woodell, Myra Lucretia Taylor, Lynda Mauze, Zach Cherry, Polly McKie, Jay Pharoah, Raúl Castillo, Juno Temple, Michael Mihm, Robert Kelly",7732899,14293601,6.4,38858,6.3,7,7,6.5,6.3,6.4,6.4,7,6.6,6.3,6.4,6.3,7.4,6.3,6.3,2609,6.4,5.8,6.5,6.3,"medium"
"1293","tt7165212","Una collega pericolosa",2018,"Crime",86,"USA","English","Michael Feifer","Cerina Vincent, Elisabeth Harnois, Kevin Sizemore, Preeti Desai, Lester Purry, Jay Pickett, Blaise Brooks, Anthony Turk, Harvey B. Jackson",NA,NA,3.9,198,4.8,4,NA,3.9,3.6,3.9,3.9,NA,3.7,3.7,4.2,3,NA,5.8,3.3,13,2.9,4,3.3,3.7,"short"
"1294","tt7167630","Batman contro Jack lo squartatore",2018,"Animation, Action, Adventure",78,"USA","English","Sam Liu","Bruce Greenwood, Jennifer Carpenter, Chris Cox, John DiMaggio, David Forseth, Grey Griffin, Anthony Head, Bob Joles, Yuri Lowenthal, Lincoln Melcher, Scott Patterson, William Salyers, Tara Strong, Bruce Timm, Kari Wuhrer",NA,NA,6.7,12847,6.9,7,6.6,6.8,6.7,6.6,6.7,6.3,6.8,6.7,6.7,6.7,8,6.8,6.7,200,6.3,6.4,6.8,6.6,"short"
"1295","tt7167686","Reign of the Supermen",2019,"Animation, Action, Adventure",87,"USA","English","Sam Liu","Jerry O'Connell, Rebecca Romijn, Rainn Wilson, Patrick Fabian, Charles Halford, Cameron Monaghan, Cress Williams, Rosario Dawson, Nathan Fillion, Christopher Gorham, Shemar Moore, Nyambi Nyambi, Jason O'Mara, Rocky Carroll, Trevor Devall",NA,4223,6.8,10615,6.9,7,6.4,6.8,6.7,6.7,6.7,6,6.8,6.7,6.7,6.9,7,7,6.8,124,7.1,6.2,6.8,6.6,"short"
"1296","tt7200076","Real Cases of Shadow People The Sarah McCormick Story",2019,"Horror, Mystery, Thriller",107,"USA","English","Joseph Mazzaferro","Lisa Arcaro, Mara Darrow, Michael Kenneth Fahr, Scott Geiter, Randy Herman, Carla Horning, Jim Horning, Joseph Mazzaferro, Lisa Mcconnell, David E. McMahon, Lilian Moore, Kierney Nelson, George Petrick, Joseph Thomas",NA,NA,4.7,586,5.1,4,NA,3.8,5.8,3.7,3.5,NA,2.6,4.3,2.8,7.2,NA,5.5,8.3,115,6.1,4.7,5.7,4.9,"medium"
"1297","tt7231572","Not Cinderella's Type",2018,"Romance",97,"USA","English","Brian Brough","Paris Warner, Tim Flynn, Tanner Gillman, Scott Christopher, JJ Neward, Ben Hopkin, Mary Neville, Ariana Bagley, Andrea Adamson, Belle Warren, James Jamison, Sarah Kent, Summer Kenyon, Kari Hawker-Diaz, Mia Bagley",NA,NA,6.1,1842,6.5,7,6,6.1,5.8,6.3,6,NA,6.2,5.6,6.1,6.1,6,6,5.9,342,6.6,4.6,6.2,5.8,"medium"
"1298","tt7241654","Gangster Land",2017,"Action, Crime, Drama",113,"USA","English","Timothy Woodward Jr.","Sean Faris, Milo Gibson, Jason Patric, Jamie-Lynn Sigler, Peter Facinelli, Mark Rolston, Michael Paré, Sean Kanan, Al Sapienza, Shane P. Allen, Shane Almagor, Drake Andrew, Thaddeus Armstrong, Jody Barton, James Bartz",NA,5124,4.4,1339,4.9,5,NA,4.5,4.5,4.4,4.4,NA,4.6,4.5,4.4,4.6,NA,3.8,5.2,57,4.5,3.5,4.8,4.2,"medium"
"1299","tt7260048","Outside In",2017,"Drama",109,"USA","English","Lynn Shelton","Edie Falco, Jay Duplass, Kaitlyn Dever, Ben Schwartz, Aaron Blakely, Emily Cowan, Alycia Delmore, Stephen Grenley, Saige Hawthorne, Louis Hobson, Charles Leggett, Tori Leos, Matt Malloy, Claudine Mboligikpelani Nako, Mackenzy Petit",68492,68492,6.7,2893,6.8,7,6.3,6.7,6.6,6.7,6.6,6,6.7,6.6,6.5,6.8,6.5,6.7,6.7,276,7,5.3,6.8,6.6,"medium"
"1300","tt7281126","Miss Me This Christmas",2017,"Comedy, Romance",87,"USA","English","Kenny Young","Erica Ash, Redaric Williams, Eva Marcille, Allen Maldonado, Nathan Davis Jr., Mykel Shannon Jenkins, Christiana Leucas, Alysia Livingston, Richard Gant, Brely Evans, Persia White, Travis Winfrey, Amanda Payton, Glen Marzillo, Jake Hunter",NA,NA,4.3,449,4.7,5,5,3.9,4.2,4.8,4.4,5,4,4.3,4.7,4.3,5,3.8,4.2,101,5,5.2,4.9,4.1,"short"
"1301","tt7281472","Al Natale non si resiste",2017,"Comedy, Family, Romance",87,"USA","English","Kenny Young","Brely Evans, Andra Fuller, Persia White, Porscha Coleman, Travis Winfrey, Nathan Davis Jr., Dedrick Bonner, Matthew Jones, Larry Poindexter, Richard Gant, Marla Gibbs, Erica Ash, Ava Elise Farmer, Nicholas Anthony Reid, Glen Marzillo",NA,NA,4.6,725,4.8,5,5.2,4.1,4.4,5.1,4.4,5.3,4,4.1,4.9,4.6,5,4.2,4.6,152,5.4,5,5,4.3,"short"
"1302","tt7314118","BROS. On The Rocks",2018,"Comedy",95,"USA","","Don Tjernagel","Don Tjernagel, Abigail Van Patten, Matt Lee Ingebritson, Rexx A. Garvin, Clint Boevers, L.C. Kent, Greg Holt, Megan Tjernagel, Robyn Cusmano, Shawn Fox, Kara Currell, Josh Bash, Tanner Bollinger, Crystal Waltz, Gregory Muller",NA,NA,6.8,1726,6.1,9,NA,8,5.7,2.4,5.1,NA,7.9,4.8,5.2,3.9,NA,7,6.5,13,1,5.8,4.9,9.7,"medium"
"1303","tt7315570","Santa Girl",2019,"Comedy, Romance",90,"USA","English","Blayne Weaver","Barry Bostwick, Jennifer Stone, Devon Werkheiser, McKayla Witt, Joshua Cody, Hank Stone, Cejei Jefferson, Tony Matteson Jr., Darcy Maxine Pierce, Tyler Clarke-Williams, Michael C. Kennedy, Kira Jackson, Kathleen Reed, Emily Foley, Rebecca Forrest",NA,NA,5.1,763,5.3,5,NA,4.9,5,5.4,4.8,NA,4.4,4.5,5.1,5.4,NA,5,5.3,142,6.1,5,5.5,4.6,"medium"
"1304","tt7335710","The Boy, the Dog and the Clown",2019,"Family",90,"USA","English","Nick Lyon","Adrien Lyon, Gabriel Dell Jr., Foxy The Dog, Kiki del Vecchio, Kenny Johnston, Jennifer Christopher, Mitzi Lynton, Michael Gandolfini, Khorri Ellis",NA,NA,7.1,348,7.8,8,NA,5.5,7.8,6.8,6.8,NA,5.5,7.4,6.4,8.4,NA,NA,8.5,75,8.3,5.4,8.4,3.2,"medium"
"1305","tt7339792","Unbroken - La via della redenzione",2018,"Biography, Drama, History",98,"USA","English, Italian","Harold Cronk","Samuel Hunt, Merritt Patterson, Bobby Campo, David Sakurai, Vincenzo Amato, Maddalena Ischiale, Gianna Simone, Ali Eagle, Will Graham, Andrew Lewis Caldwell, Gary Cole, Bob Gunton, Donald Martin Stark, David DeLuise, Scott Subiono",6216897,6216897,5.8,2292,6.3,6,6.8,6.1,5.5,6,5.6,5,5.9,5.4,5.8,6.4,6.8,6.3,5.9,119,6.9,5,6.3,5.5,"medium"
"1306","tt7349662","BlacKkKlansman",2018,"Biography, Crime, Drama",135,"USA","English","Spike Lee","Alec Baldwin, John David Washington, Isiah Whitlock Jr., Robert John Burke, Brian Tarantina, Arthur J. Nascarella, Ken Garito, Frederick Weller, Adam Driver, Michael Buscemi, Laura Harrier, Damaris Lewis, Ato Blankson-Wood, Corey Hawkins, Dared Wright",49275340,93400823,7.5,207042,7.5,8,7.7,7.6,7.4,7.3,7.4,7.7,7.6,7.3,7.3,7.7,7.7,7.8,7.6,10756,7.8,7.1,7.6,7.4,"long"
"1307","tt7369722","The Sandman",2017,"Horror",90,"USA","English","Peter Sullivan","Haylie Duff, Tobin Bell, Shaun Sipos, Shae Smolik, Amanda Wyss, Ricco Ross, Jason-Shane Scott, Mick Morgana Ignis, Lyn Alicia Henderson, Paul Logan, Scott Peat, Richard Gleason, Margarita Reyes, Aaron Norvell, Scott Campbell",NA,NA,4.4,1322,5.2,5,2.7,4.5,4.2,4.5,4.3,3,4.6,4.2,4.5,4.5,2,4.4,4.5,102,4.8,3.8,4.7,4,"medium"
"1308","tt7370952","Bennett's War",2019,"Sport",94,"USA","English","Alex Ranarivelo","Michael Roark, Ali Afshar, Allison Paige, Brando Eaton, Hunter Clowdus, Tony Panterra, Trace Adkins, Michael King, Oliver Zorko, Orlando Zorko, Justin Ebelt, Violet McGraw, Taylor Kalupa, Dave Arnold, Philip Paz",1056416,1056416,5.7,529,6.4,6,5.5,5.6,5.5,5.5,5.5,NA,5.6,5.5,5.4,5.7,5.5,5.7,5.3,21,6.8,4.1,5.6,5.2,"medium"
"1309","tt7385836","Sunset Society",2018,"Horror",90,"USA","English","Rolfe Kanefsky","Lemmy, Randal Malone, Tracii Guns, Dizzy Reed, Phoebe Dollar, Ron Jeremy, Angelique Congleton, Matt Nespoli, Kayley Gable, Marc Happenin Harry Harrison, Howie Gordon, Whitey Kirst, Monkey Bone, Steve-O, Sean Cain",NA,NA,2.7,118,3.4,3,NA,2.6,3.1,2.7,2.8,NA,2.5,3.1,2.7,2.9,NA,3,6,1,2.9,3.8,2.4,3.1,"medium"
"1310","tt7390646","La legge dei più forti",2019,"Action, Crime, Drama",108,"USA","English","Deon Taylor","Naomie Harris, Tyrese Gibson, Frank Grillo, Mike Colter, Reid Scott, Beau Knapp, Nafessa Williams, James Moses Black, Carsyn Taylor, Lucky Johnson, Deneen Tyler, Michael Papajohn, Nelson Bonilla, Frankie Smith, Oscar Gale",22055313,22741061,6.3,13332,6.5,7,5.9,6.3,6.2,6.4,6.3,5,6.2,6.2,6.4,6.8,4.5,6.6,6.6,531,6.9,5.6,6.3,6.2,"medium"
"1311","tt7401588","Instant Family",2018,"Comedy, Drama",118,"USA","English, Spanish","Sean Anders","Mark Wahlberg, Rose Byrne, Isabela Merced, Gustavo Escobar, Julianna Gamiz, Octavia Spencer, Tig Notaro, Tom Segura, Allyn Rachel, Britt Rentschler, Jody Thompson, Margo Martindale, Julie Hagerty, Michael O'Keefe, Joan Cusack",67363237,120556201,7.3,76885,7.5,8,7.6,7.5,7.2,7.1,7.2,7.4,7.4,7.2,7.1,7.6,7.8,7.7,7.4,5633,7.5,6.4,7.4,7.2,"medium"
"1312","tt7404820","Se scappo mi sposo a Natale",2017,"Comedy, Drama, Family",90,"Canada","English","David DeCoteau","Cindy Busby, Travis Milne, Mark Milburn, Christos Shaw, Mackenzie Gray, Bruce Dawson, Jeffrey Stephen, Fiona Vroom, Karen Kruper, Roz Murray, Christine Bortolin, Aurelio DiNunzio, Warren Abbott, Diane Verhiel",NA,NA,4.5,309,4.6,4,NA,5.2,4,4.7,4.7,NA,6.8,4.6,4.9,4.4,NA,5.4,3.7,51,4.6,5.6,4.8,4,"medium"
"1313","tt7422552","Funny Story",2018,"Comedy, Drama",84,"USA","English","Michael J. Gallagher","Matthew Glave, Emily Bett Rickards, Jana Winternitz, Nikki Limo, Lily Holleman, Jessica Diggins, Aschleigh Jensen, Pete Gardner, Reginald VelJohnson, Jacob Wysocki, Christopher Baskerville, Todd Berger, Jamie Costa, Susan Gallagher, Frank Gerrish",NA,NA,5,387,5.9,6,NA,5.2,5,5,5,NA,5,4.8,5.1,5.2,NA,5.6,5.4,39,4.7,3.1,5.6,4.4,"short"
"1314","tt7448180","The Debt Collector",2018,"Action, Comedy",95,"UK, USA","English","Jesse V. Johnson","Scott Adkins, Louis Mandylor, Vladimir Kulich, Tony Todd, Selina Lo, Rustic Bodomov, Alexa Bondar, Rachel Brann, Kasmira Buchanan, Danice Cabanela, Brian Carroll, Katherine Castillo, Sean Crampton, Esteban Cueto, Michael DeCamp",NA,28645,5.7,4770,5.9,6,5,5.9,5.8,5.6,5.7,5,5.9,5.8,5.6,5.3,5,5.4,5.4,58,5.2,5.1,5.8,5.7,"medium"
"1315","tt7461372","The Dawn",2019,"Drama, Horror, Thriller",90,"USA","English","Brandon Slagle","Devanny Pinn, Stacey Dash, Ryan Kiser, David Goryl, Heather Wynters, Teilor Grubbs, Jonathan Bennett, Andrew E. Wheeler, Amanda Day, Julie Rose, Claire Engler, William McMullen, Jimmy Redhawk James, Scott C. Roe, Ron Smith",NA,NA,4.6,1410,6.2,7,NA,3.5,4.2,3.6,3.7,NA,3.3,4,3.6,4.4,NA,4,4.9,131,3.9,3.8,5,3.8,"medium"
"1316","tt7482508","Un divorzio pericoloso",2017,"Thriller",85,"USA","English","Danny J. Boyle","Marguerite Moreau, Jordan Belfi, Jessica Blackmore, Arianne Zucker, Ian Patrick Williams, David Bickford, Davonyea Gantt, Chet Grissom, Jim Jepson, David Scott Lago, Mark Lawson, Shelley Robertson, Eric Scott Woods",NA,NA,4.6,136,5.1,5,NA,5.1,4.2,5,4.3,NA,5,3.9,4.7,5.2,NA,5.4,4.7,17,5.4,5,4.9,4.4,"short"
"1317","tt7493366","Halloween Pussy Trap Kill Kill",2017,"Crime, Horror, Musical",86,"USA","English","Jared Cohn","Sara Malakul Lane, Richard Grieco, Demetrius Stear, Lauren Parkinson, Nicole Sterling, Kelly Lynn Reiter, Kelly McCart, Tristan Ott, Tim Casper, David Oakes, Dave Mustaine, Jed Rowen, Kelly Erin Decker, Zahra Susan Ingersoll, Paul Logan",NA,NA,3.3,277,3.8,3,NA,3.4,3,3.4,3.1,NA,3.6,2.9,3.4,3.4,NA,3,2.9,8,4.7,2.6,3.6,2.9,"short"
"1318","tt7493824","The Last Gunslinger",2017,"Western",80,"USA","English","Christopher Forbes","William Adams, Jezibell Anat, Tori Barker, Saul Brooks, Jerry Chesser, Tripp Courtney, Charlie Glotzbach, Viola Hobbs, John Hudson, Dave Long, Carlo Martini, Cody McCarver, Heath McDaniel, William Wylie, Joseph Zuchowski",NA,NA,1.7,103,2.2,1,NA,1.6,2,1.7,1.5,NA,1.5,2.1,1.4,2.6,NA,1.7,1.5,4,4,3.8,1.8,1.3,"short"
"1319","tt7546024","It Kills",2017,"Action, Horror, Thriller",69,"USA","English","Mark Polonia","Greta Volkova, Wyatt Wood, Mel Heflin, Titus Himmelberger, Jamie Morgan, Kyle Rappaport, Jennie Russo, Ken Van Sant, Kathryn Sue Young, Jeff Kirkendall, James Carolus",NA,NA,2.6,146,3.1,2,6,2,3.1,2.2,2.5,6,2,3.1,2.2,1.8,NA,2.2,3.2,4,1,3,2.7,2.5,"short"
